token	corpus size	all contexts size	frequency	co-frequency	specificity
guilty	59673	20587	54	49	17.08
freedom	59673	20587	109	75	12.64
evil	59673	20587	115	73	9.81
epistemic	59673	20587	16	16	7.40
erroneous	59673	20587	30	23	5.61
moral	59673	20587	337	150	4.50
idea	59673	20587	26	19	4.25
understanding	59673	20587	32	22	4.20
intellectual	59673	20587	14	12	3.96
bad	59673	20587	39	25	3.95
guilty/troubled	59673	20587	8	8	3.70
role	59673	20587	36	23	3.66
function	59673	20587	13	11	3.56
person’s	59673	20587	15	12	3.44
notion	59673	20587	29	19	3.32
accounts	59673	20587	7	7	3.24
essential	59673	20587	12	10	3.17
conscious	59673	20587	36	22	3.16
appeals	59673	20587	14	11	3.07
provide	59673	20587	24	16	3.00
psychological	59673	20587	22	15	2.99
considered	59673	20587	22	15	2.99
Freedom	59673	20587	37	22	2.95
motivational	59673	20587	9	8	2.93
prevented	59673	20587	6	6	2.77
invincibly	59673	20587	6	6	2.77
(t	59673	20587	6	6	2.77
subjective	59673	20587	17	12	2.67
follow	59673	20587	41	23	2.63
appeal	59673	20587	8	7	2.52
artificial	59673	20587	8	7	2.52
Many	59673	20587	8	7	2.52
synderesis	59673	20587	56	29	2.50
matter	59673	20587	10	8	2.41
viewed	59673	20587	10	8	2.41
hear	59673	20587	12	9	2.37
self-assessment	59673	20587	12	9	2.37
pure	59673	20587	16	11	2.36
acting	59673	20587	14	10	2.36
walking	59673	20587	14	10	2.36
talking	59673	20587	5	5	2.31
joyful	59673	20587	5	5	2.31
perfectly	59673	20587	5	5	2.31
synonymous	59673	20587	5	5	2.31
pricked	59673	20587	5	5	2.31
Aquinas	59673	20587	60	30	2.31
concept	59673	20587	41	22	2.27
understood	59673	20587	21	13	2.17
view	59673	20587	30	17	2.17
feelings	59673	20587	37	20	2.17
guide	59673	20587	19	12	2.13
fallible	59673	20587	7	6	2.11
talk	59673	20587	15	10	2.06
violate	59673	20587	15	10	2.06
examine	59673	20587	9	7	2.05
:16	59673	20587	9	7	2.05
sense	59673	20587	83	38	2.03
properly	59673	20587	11	8	2.03
explain	59673	20587	11	8	2.03
relation	59673	20587	11	8	2.03
private	59673	20587	11	8	2.03
one’s	59673	20587	43	22	2.01
social	59673	20587	41	21	1.95
approach	59673	20587	20	12	1.92
innate	59673	20587	20	12	1.92
refers	59673	20587	18	11	1.87
discovers	59673	20587	4	4	1.85
secret	59673	20587	4	4	1.85
identified	59673	20587	4	4	1.85
emphasized	59673	20587	4	4	1.85
conceptual	59673	20587	4	4	1.85
relativistic	59673	20587	4	4	1.85
relating	59673	20587	4	4	1.85
notions	59673	20587	4	4	1.85
ambiguity	59673	20587	4	4	1.85
ecclesiastical	59673	20587	4	4	1.85
default	59673	20587	4	4	1.85
consequence	59673	20587	4	4	1.85
vote	59673	20587	4	4	1.85
prisoner	59673	20587	4	4	1.85
a good	59673	20587	4	4	1.85
[How	59673	20587	4	4	1.85
pronounce	59673	20587	4	4	1.85
(audio	59673	20587	4	4	1.85
Facebook	59673	20587	4	4	1.85
Twitter	59673	20587	4	4	1.85
clause	59673	20587	16	10	1.82
form	59673	20587	30	16	1.81
If	59673	20587	40	20	1.78
distinction	59673	20587	12	8	1.74
aspects	59673	20587	12	8	1.74
critical	59673	20587	12	8	1.74
core	59673	20587	6	5	1.72
