token	corpus size	all contexts size	frequency	co-frequency	specificity
la	38672	15298	2214	1298	77.19
de	38672	15298	2483	1184	17.42
La	38672	15298	248	158	14.12
nivel	38672	15298	68	58	14.11
es	38672	15298	526	281	10.52
ampliada	38672	15298	22	21	7.34
disminución	38672	15298	22	21	7.34
nuclear	38672	15298	14	14	5.64
varios	38672	15298	10	10	4.03
primaria	38672	15298	10	10	4.03
que	38672	15298	1085	482	3.98
se	38672	15298	455	212	3.46
siendo	38672	15298	16	13	3.14
está	38672	15298	57	34	3.00
implica	38672	15298	33	22	2.98
fenómeno	38672	15298	33	22	2.98
constituyen	38672	15298	7	7	2.82
fenomenal	38672	15298	7	7	2.82
problema	38672	15298	52	31	2.80
filosofía	38672	15298	48	29	2.77
humana	38672	15298	32	21	2.75
sino	38672	15298	38	24	2.74
coma	38672	15298	17	13	2.73
del	38672	15298	422	191	2.65
social	38672	15298	33	21	2.53
niveles	38672	15298	14	11	2.53
surge	38672	15298	14	11	2.53
psíquicos	38672	15298	9	8	2.49
"La	38672	15298	6	6	2.42
sólo	38672	15298	18	13	2.40
científicos	38672	15298	18	13	2.40
una	38672	15298	376	169	2.37
trastornos	38672	15298	57	32	2.36
atención	38672	15298	36	22	2.34
diferencia	38672	15298	22	15	2.34
desde	38672	15298	60	33	2.25
con	38672	15298	238	110	2.23
parciales	38672	15298	13	10	2.23
cómo	38672	15298	35	21	2.15
psiquiatría	38672	15298	8	7	2.14
alterados	38672	15298	8	7	2.14
ligada	38672	15298	8	7	2.14
fundamento	38672	15298	8	7	2.14
no	38672	15298	323	144	2.09
consciencia	38672	15298	75	39	2.07
en	38672	15298	827	348	2.03
deber	38672	15298	5	5	2.01
explicada	38672	15298	5	5	2.01
Características	38672	15298	5	5	2.01
pensamos	38672	15298	5	5	2.01
neural	38672	15298	5	5	2.01
tipos	38672	15298	10	8	2.01
encontrar	38672	15298	10	8	2.01
afectan	38672	15298	10	8	2.01
globales	38672	15298	10	8	2.01
como	38672	15298	293	130	1.94
alteración	38672	15298	12	9	1.94
papel	38672	15298	14	10	1.90
porque	38672	15298	14	10	1.90
alteraciones	38672	15298	41	23	1.89
entender	38672	15298	16	11	1.88
según	38672	15298	18	12	1.88
parte	38672	15298	57	30	1.84
tener	38672	15298	33	19	1.80
consiste	38672	15298	7	6	1.79
describir	38672	15298	7	6	1.79
correlato	38672	15298	7	6	1.79
el	38672	15298	888	365	1.76
estado	38672	15298	56	29	1.72
Damasio	38672	15298	25	15	1.71
produce	38672	15298	9	7	1.70
temporal	38672	15298	9	7	1.70
enigma	38672	15298	9	7	1.70
existe	38672	15298	21	13	1.68
conjunto	38672	15298	19	12	1.66
personas	38672	15298	11	8	1.66
fundamental	38672	15298	11	8	1.66
puede	38672	15298	87	42	1.66
tiene	38672	15298	59	30	1.65
propiedades	38672	15298	13	9	1.65
“La	38672	15298	13	9	1.65
define	38672	15298	13	9	1.65
están	38672	15298	15	10	1.64
Block	38672	15298	15	10	1.64
muy	38672	15298	30	17	1.61
cognitivo	38672	15298	4	4	1.61
muestra	38672	15298	4	4	1.61
¿en	38672	15298	4	4	1.61
argumentado	38672	15298	4	4	1.61
correlatos	38672	15298	4	4	1.61
tratar	38672	15298	4	4	1.61
proporcionar	38672	15298	4	4	1.61
definen	38672	15298	4	4	1.61
Tipos	38672	15298	4	4	1.61
influye	38672	15298	4	4	1.61
aumentar	38672	15298	4	4	1.61
total	38672	15298	4	4	1.61
continuo	38672	15298	4	4	1.61
afirmar	38672	15298	4	4	1.61
neurobiológica	38672	15298	4	4	1.61
atrapar	38672	15298	4	4	1.61
diosa	38672	15298	4	4	1.61
Estado	38672	15298	4	4	1.61
[Qué	38672	15298	4	4	1.61
y	38672	15298	960	385	1.60
superior	38672	15298	28	16	1.59
entre	38672	15298	108	50	1.55
concepto	38672	15298	35	19	1.54
existencia	38672	15298	35	19	1.54
podría	38672	15298	24	14	1.53
sobre	38672	15298	143	64	1.52
cuando	38672	15298	56	28	1.52
pues	38672	15298	31	17	1.49
artificial	38672	15298	18	11	1.46
punto	38672	15298	18	11	1.46
explicar	38672	15298	18	11	1.46
acto	38672	15298	6	5	1.45
día	38672	15298	6	5	1.45
hacen	38672	15298	6	5	1.45
forman	38672	15298	6	5	1.45
cuanto	38672	15298	6	5	1.45
simplemente	38672	15298	6	5	1.45
necesaria	38672	15298	6	5	1.45
fenomenológica	38672	15298	6	5	1.45
sinónimo	38672	15298	6	5	1.45
"El	38672	15298	6	5	1.45
pérdida	38672	15298	6	5	1.45
colectiva	38672	15298	6	5	1.45
estudio	38672	15298	16	10	1.44
más	38672	15298	143	63	1.43
los	38672	15298	473	189	1.43
dos	38672	15298	27	15	1.43
por	38672	15298	263	110	1.42
perspectiva	38672	15298	8	6	1.41
aparece	38672	15298	8	6	1.41
resolver	38672	15298	8	6	1.41
incluye	38672	15298	8	6	1.41
plantea	38672	15298	8	6	1.41
grandes	38672	15298	8	6	1.41
buena	38672	15298	8	6	1.41
afirma	38672	15298	12	8	1.40
neurobiología	38672	15298	10	7	1.40
referencia	38672	15298	10	7	1.40
lugar	38672	15298	25	14	1.40
ya	38672	15298	53	26	1.39
un	38672	15298	328	132	1.36
mientras	38672	15298	30	16	1.34
si	38672	15298	61	29	1.34
también	38672	15298	59	28	1.31
emocional	38672	15298	19	11	1.30
para	38672	15298	212	87	1.30
materia	38672	15298	17	10	1.27
pensar	38672	15298	17	10	1.27
conceptos	38672	15298	17	10	1.27
su	38672	15298	216	87	1.27
qué	38672	15298	43	21	1.25
