token	corpus size	all contexts size	frequency	co-frequency	specificity
такое	38534	11850	63	49	13.78
Что	38534	11850	52	38	9.46
представляет	38534	11850	30	23	6.59
является	38534	11850	112	58	5.77
человеческое	38534	11850	19	16	5.69
устроено	38534	11850	13	12	5.19
доступа	38534	11850	19	15	4.73
того	38534	11850	67	36	4.31
функции	38534	11850	31	20	4.07
Структура	38534	11850	13	11	4.06
нужно	38534	11850	13	11	4.06
существует	38534	11850	42	24	3.62
[Как	38534	11850	7	7	3.59
Понятие	38534	11850	18	13	3.52
природа	38534	11850	9	8	3.30
Свойства	38534	11850	9	8	3.30
формируется	38534	11850	21	14	3.22
данного	38534	11850	6	6	3.07
индивидуальное	38534	11850	6	6	3.07
помещается	38534	11850	6	6	3.07
могло	38534	11850	14	10	2.76
определить	38534	11850	12	9	2.75
Поэтому	38534	11850	12	9	2.75
пытается	38534	11850	5	5	2.56
основные	38534	11850	5	5	2.56
Функции	38534	11850	5	5	2.56
биологическая	38534	11850	5	5	2.56
радикальные	38534	11850	5	5	2.56
феноменальное	38534	11850	5	5	2.56
объяснить	38534	11850	17	11	2.50
определяется	38534	11850	15	10	2.44
Кроме	38534	11850	7	6	2.39
общественным	38534	11850	7	6	2.39
Общественное	38534	11850	7	6	2.39
Проблема	38534	11850	11	8	2.36
выделить	38534	11850	11	8	2.36
предметом	38534	11850	9	7	2.35
идеи	38534	11850	9	7	2.35
наличие	38534	11850	20	12	2.32
образом	38534	11850	40	20	2.30
теория	38534	11850	33	17	2.19
предполагает	38534	11850	14	9	2.11
еще	38534	11850	26	14	2.10
дисциплин	38534	11850	4	4	2.05
конституирует	38534	11850	4	4	2.05
Выделяют	38534	11850	4	4	2.05
предметное	38534	11850	4	4	2.05
Большинство	38534	11850	4	4	2.05
порождает	38534	11850	4	4	2.05
живых	38534	11850	4	4	2.05
уровней	38534	11850	4	4	2.05
животные	38534	11850	4	4	2.05
промежуточным	38534	11850	4	4	2.05
считается	38534	11850	4	4	2.05
квантовым	38534	11850	4	4	2.05
феномена	38534	11850	4	4	2.05
Наше	38534	11850	4	4	2.05
считаю	38534	11850	4	4	2.05
греховности	38534	11850	4	4	2.05
и бессознательным	38534	11850	4	4	2.05
вопрос	38534	11850	42	20	2.04
формы	38534	11850	12	8	2.04
связаны	38534	11850	12	8	2.04
обладает	38534	11850	19	11	2.03
работает	38534	11850	32	16	1.97
человека	38534	11850	253	91	1.97
науки	38534	11850	17	10	1.95
выступает	38534	11850	8	6	1.95
следующие	38534	11850	8	6	1.95
ответить	38534	11850	8	6	1.95
