token	corpus size	all contexts size	frequency	co-frequency	specificity
class	113687	18873	400	287	131.34
of	113687	18873	5049	1318	68.29
collective	113687	18873	103	78	39.10
the	113687	18873	5337	1165	24.22
level	113687	18873	63	43	19.00
Class	113687	18873	106	54	15.44
proletariat	113687	18873	114	56	15.08
theories	113687	18873	98	50	14.40
theory	113687	18873	129	59	14.07
its	113687	18873	305	101	12.09
phenomenal	113687	18873	43	28	11.84
altered	113687	18873	29	22	11.52
Marxian	113687	18873	28	21	10.86
levels	113687	18873	31	22	10.57
neural	113687	18873	47	28	10.50
raising	113687	18873	27	20	10.20
as	113687	18873	968	235	9.65
explaining	113687	18873	22	17	9.23
Empowering	113687	18873	11	11	8.58
sort	113687	18873	31	20	8.54
false	113687	18873	26	18	8.48
Economics	113687	18873	15	13	8.28
correlates	113687	18873	24	17	8.27
states	113687	18873	87	37	8.10
Proletariat	113687	18873	12	11	7.58
access	113687	18873	40	22	7.52
explain	113687	18873	48	24	7.10
‘false’	113687	18873	9	9	7.02
disorders	113687	18873	23	15	6.64
higher-order	113687	18873	18	13	6.60
bourgeoisie	113687	18873	51	24	6.49
can	113687	18873	363	97	6.45
brain	113687	18873	99	37	6.42
in	113687	18873	1986	408	6.31
concept	113687	18873	96	36	6.31
workspace	113687	18873	10	9	6.10
aspect	113687	18873	31	17	5.94
physical	113687	18873	58	25	5.86
Altered	113687	18873	15	11	5.76
historical	113687	18873	45	21	5.69
status	113687	18873	26	15	5.68
relevant	113687	18873	39	19	5.56
Collective	113687	18873	30	16	5.42
representational	113687	18873	9	8	5.36
possibility	113687	18873	19	12	5.21
quantum	113687	18873	25	14	5.14
meta-mental	113687	18873	14	10	5.11
patients	113687	18873	45	20	5.07
relation	113687	18873	29	15	4.91
struggle	113687	18873	46	20	4.90
qualitative	113687	18873	26	14	4.88
feature	113687	18873	23	13	4.87
types	113687	18873	27	14	4.64
measure	113687	18873	18	11	4.63
but	113687	18873	256	67	4.50
False	113687	18873	13	9	4.48
reality	113687	18873	38	17	4.46
forms	113687	18873	53	21	4.40
among	113687	18873	32	15	4.29
components	113687	18873	11	8	4.26
Marx	113687	18873	55	21	4.13
challenges	113687	18873	14	9	4.11
least	113687	18873	34	15	3.93
whole	113687	18873	34	15	3.93
gained	113687	18873	5	5	3.90
interpretable	113687	18873	5	5	3.90
verbal	113687	18873	12	8	3.86
concepts	113687	18873	21	11	3.82
awareness	113687	18873	119	35	3.71
information	113687	18873	67	23	3.68
objective	113687	18873	59	21	3.66
stream	113687	18873	10	7	3.62
some	113687	18873	153	42	3.60
psychological	113687	18873	44	17	3.55
terms	113687	18873	48	18	3.54
learning	113687	18873	13	8	3.52
proletarian	113687	18873	13	8	3.52
relations	113687	18873	16	9	3.51
role	113687	18873	82	26	3.47
development	113687	18873	37	15	3.46
problem	113687	18873	53	19	3.42
within	113687	18873	96	29	3.41
model	113687	18873	23	11	3.39
Higher	113687	18873	8	6	3.39
nature	113687	18873	66	22	3.37
various	113687	18873	38	15	3.32
dynamics	113687	18873	17	9	3.26
dialectical	113687	18873	17	9	3.26
contradiction	113687	18873	17	9	3.26
models	113687	18873	11	7	3.26
degrees	113687	18873	11	7	3.26
contradictions	113687	18873	11	7	3.26
functional	113687	18873	31	13	3.24
between	113687	18873	145	39	3.24
framework	113687	18873	14	8	3.23
causal	113687	18873	14	8	3.23
distinguishing	113687	18873	6	5	3.20
basis	113687	18873	28	12	3.14
question	113687	18873	73	23	3.13
physicalist	113687	18873	4	4	3.12
alter	113687	18873	4	4	3.12
lead	113687	18873	21	10	3.12
different	113687	18873	87	26	3.07
aspects	113687	18873	36	14	3.07
function	113687	18873	40	15	3.07
saw	113687	18873	9	6	2.99
impaired	113687	18873	9	6	2.99
behaviors	113687	18873	9	6	2.99
plays	113687	18873	15	8	2.98
produce	113687	18873	15	8	2.98
sorts	113687	18873	15	8	2.98
that	113687	18873	1376	264	2.97
fundamental	113687	18873	33	13	2.96
humans	113687	18873	33	13	2.96
evolution	113687	18873	12	7	2.95
brains	113687	18873	12	7	2.95
complexity	113687	18873	12	7	2.95
develop	113687	18873	22	10	2.93
two	113687	18873	67	21	2.89
how	113687	18873	137	36	2.88
lack	113687	18873	26	11	2.87
there	113687	18873	90	26	2.86
economic	113687	18873	64	20	2.77
several	113687	18873	23	10	2.77
normal	113687	18873	23	10	2.77
argued	113687	18873	47	16	2.75
working	113687	18873	47	16	2.75
Stream	113687	18873	7	5	2.73
Main	113687	18873	7	5	2.73
waves	113687	18873	7	5	2.73
arousal	113687	18873	27	11	2.73
social	113687	18873	150	38	2.72
processes	113687	18873	31	12	2.71
aim	113687	18873	13	7	2.70
has	113687	18873	263	60	2.69
quality	113687	18873	10	6	2.67
narrative	113687	18873	10	6	2.67
integrated	113687	18873	20	9	2.66
matter	113687	18873	28	11	2.59
using	113687	18873	28	11	2.59
position	113687	18873	32	12	2.58
understanding	113687	18873	85	24	2.58
achieve	113687	18873	17	8	2.56
animals	113687	18873	17	8	2.56
deep	113687	18873	17	8	2.56
with	113687	18873	628	126	2.53
