token	corpus size	all contexts size	frequency	co-frequency	specificity
Что	117104	41002	132	97	18.73
угрызения	117104	41002	44	43	18.15
такое	117104	41002	178	117	16.28
является	117104	41002	268	153	13.09
что	117104	41002	1354	601	12.77
как	117104	41002	1017	453	10.19
о	117104	41002	544	253	8.09
функции	117104	41002	59	42	7.88
угрызений	117104	41002	17	17	7.75
основные	117104	41002	20	19	7.55
теорий	117104	41002	27	23	6.99
образом	117104	41002	112	66	6.88
Структура	117104	41002	24	21	6.83
мучает	117104	41002	23	20	6.43
человека	117104	41002	616	269	5.78
наличие	117104	41002	43	30	5.54
Угрызения	117104	41002	12	12	5.47
[Зачем	117104	41002	12	12	5.47
у	117104	41002	313	146	5.24
человеческого	117104	41002	69	42	5.15
Понятие	117104	41002	29	22	5.14
природа	117104	41002	17	15	5.08
квантового	117104	41002	11	11	5.01
греховности	117104	41002	11	11	5.01
есть	117104	41002	424	189	5.00
проявление	117104	41002	14	13	4.97
следующие	117104	41002	21	17	4.72
Наличие	117104	41002	10	10	4.56
доступа	117104	41002	25	19	4.54
существует	117104	41002	82	46	4.34
представляет	117104	41002	46	29	4.16
Свойства	117104	41002	12	11	4.12
Утрата	117104	41002	9	9	4.10
объяснения	117104	41002	38	25	4.09
своей	117104	41002	143	71	3.97
состояния	117104	41002	71	40	3.93
формируется	117104	41002	47	29	3.93
голосу	117104	41002	21	16	3.92
голос	117104	41002	101	53	3.89
Развитие	117104	41002	14	12	3.88
основных	117104	41002	23	17	3.87
том	117104	41002	218	101	3.83
то	117104	41002	469	199	3.83
наше	117104	41002	54	32	3.81
определяется	117104	41002	27	19	3.81
формы	117104	41002	27	19	3.81
феноменального	117104	41002	16	13	3.74
чувственная	117104	41002	11	10	3.70
понятие	117104	41002	57	33	3.66
а	117104	41002	483	203	3.65
внешнему	117104	41002	8	8	3.65
чистую	117104	41002	8	8	3.65
Муки	117104	41002	8	8	3.65
функционирования	117104	41002	18	14	3.64
его	117104	41002	561	232	3.58
относительно	117104	41002	36	23	3.55
зачем	117104	41002	24	17	3.52
теории	117104	41002	97	50	3.50
устроено	117104	41002	13	11	3.50
практическим	117104	41002	13	11	3.50
ли	117104	41002	109	55	3.48
в	117104	41002	2813	1053	3.40
[Что	117104	41002	15	12	3.37
свою	117104	41002	110	55	3.37
где	117104	41002	61	34	3.35
несколько	117104	41002	39	24	3.35
с	117104	41002	962	379	3.33
О	117104	41002	50	29	3.32
мы	117104	41002	318	137	3.27
психология	117104	41002	19	14	3.25
свидетельствует	117104	41002	19	14	3.25
вида	117104	41002	19	14	3.25
согласно	117104	41002	31	20	3.25
поэтому	117104	41002	46	27	3.24
отсутствие	117104	41002	21	15	3.23
свободы	117104	41002	27	18	3.22
выделить	117104	41002	23	16	3.21
связана	117104	41002	25	17	3.21
три	117104	41002	25	17	3.21
корреляты	117104	41002	7	7	3.19
Функции	117104	41002	7	7	3.19
Большинство	117104	41002	7	7	3.19
Какие	117104	41002	7	7	3.19
объяснению	117104	41002	7	7	3.19
свойства	117104	41002	42	25	3.17
вопрос	117104	41002	74	39	3.13
обладает	117104	41002	38	23	3.10
объяснить	117104	41002	38	23	3.10
чистой	117104	41002	14	11	3.01
два	117104	41002	32	20	3.01
и	117104	41002	4166	1527	2.99
состояний	117104	41002	30	19	2.98
разум	117104	41002	28	18	2.96
следует	117104	41002	50	28	2.93
индивидуального	117104	41002	18	13	2.93
но	117104	41002	335	141	2.92
тем	117104	41002	117	56	2.90
человеку	117104	41002	132	62	2.89
мучения	117104	41002	9	8	2.88
чиста	117104	41002	9	8	2.88
чувства	117104	41002	74	38	2.83
теория	117104	41002	67	35	2.81
свойство	117104	41002	44	25	2.80
природе	117104	41002	44	25	2.80
Таким	117104	41002	42	24	2.76
была	117104	41002	31	19	2.76
духа	117104	41002	31	19	2.76
примеры	117104	41002	11	9	2.74
нейронные	117104	41002	11	9	2.74
искать	117104	41002	11	9	2.74
голосом	117104	41002	11	9	2.74
считаю	117104	41002	6	6	2.73
квалитативного	117104	41002	6	6	2.73
рассматриваться	117104	41002	6	6	2.73
Личная	117104	41002	6	6	2.73
человеке	117104	41002	40	23	2.72
определить	117104	41002	27	17	2.69
свойством	117104	41002	25	16	2.67
общественного	117104	41002	25	16	2.67
структуру	117104	41002	23	15	2.64
философских	117104	41002	15	11	2.63
направление	117104	41002	15	11	2.63
основы	117104	41002	21	14	2.63
объясняет	117104	41002	19	13	2.61
идеи	117104	41002	17	12	2.61
структуре	117104	41002	17	12	2.61
для	117104	41002	387	158	2.61
при	117104	41002	147	66	2.50
необходимо	117104	41002	39	22	2.50
Как	117104	41002	137	62	2.49
того	117104	41002	186	81	2.48
Общественное	117104	41002	8	7	2.47
фактором	117104	41002	8	7	2.47
чистая	117104	41002	8	7	2.47
мук	117104	41002	8	7	2.47
между	117104	41002	97	46	2.46
само	117104	41002	26	16	2.44
можно	117104	41002	192	83	2.44
нужно	117104	41002	44	24	2.44
эволюции	117104	41002	35	20	2.41
роль	117104	41002	56	29	2.40
считают	117104	41002	22	14	2.37
считает	117104	41002	22	14	2.37
общественное	117104	41002	10	8	2.37
подхода	117104	41002	10	8	2.37
хранить	117104	41002	10	8	2.37
особенности	117104	41002	20	13	2.35
говорит	117104	41002	76	37	2.34
потому	117104	41002	81	39	2.33
результатом	117104	41002	12	9	2.32
одном	117104	41002	12	9	2.32
Святитель	117104	41002	12	9	2.32
Наконец	117104	41002	12	9	2.32
могло	117104	41002	16	11	2.31
Проблема	117104	41002	14	10	2.31
до	117104	41002	109	50	2.30
связь	117104	41002	45	24	2.29
человеческое	117104	41002	29	17	2.28
конституирует	117104	41002	5	5	2.28
Типы	117104	41002	5	5	2.28
сенсорная	117104	41002	5	5	2.28
Связь	117104	41002	5	5	2.28
радикальные	117104	41002	5	5	2.28
обрести	117104	41002	5	5	2.28
квантовым	117104	41002	5	5	2.28
невозможность	117104	41002	5	5	2.28
Феномен	117104	41002	5	5	2.28
помраченного	117104	41002	5	5	2.28
феноменальное	117104	41002	5	5	2.28
соотносить	117104	41002	5	5	2.28
Три	117104	41002	5	5	2.28
частных	117104	41002	5	5	2.28
Виды	117104	41002	5	5	2.28
мацпэн	117104	41002	5	5	2.28
компасу	117104	41002	5	5	2.28
отцы	117104	41002	5	5	2.28
взросления	117104	41002	5	5	2.28
заговорила	117104	41002	5	5	2.28
хранении	117104	41002	5	5	2.28
убеждает	117104	41002	5	5	2.28
хранение	117104	41002	5	5	2.28
Коллективная	117104	41002	5	5	2.28
можем	117104	41002	50	26	2.26
–	117104	41002	424	168	2.25
одна	117104	41002	36	20	2.25
связано	117104	41002	43	23	2.24
мере	117104	41002	43	23	2.24
существование	117104	41002	27	16	2.24
котором	117104	41002	48	25	2.21
еще	117104	41002	90	42	2.20
называется	117104	41002	32	18	2.15
муки	117104	41002	21	13	2.11
не	117104	41002	1380	509	2.11
по	117104	41002	382	151	2.11
кто	117104	41002	61	30	2.11
чего	117104	41002	37	20	2.10
также	117104	41002	151	65	2.09
общей	117104	41002	19	12	2.08
включают	117104	41002	7	6	2.08
источник	117104	41002	7	6	2.08
общественным	117104	41002	7	6	2.08
ясного	117104	41002	7	6	2.08
Основные	117104	41002	7	6	2.08
наличия	117104	41002	7	6	2.08
удовлетворению	117104	41002	7	6	2.08
Признаки	117104	41002	7	6	2.08
моральное	117104	41002	7	6	2.08
компас	117104	41002	7	6	2.08
‍	117104	41002	7	6	2.08
написано	117104	41002	7	6	2.08
двух	117104	41002	28	16	2.06
выше	117104	41002	28	16	2.06
поскольку	117104	41002	35	19	2.05
структура	117104	41002	17	11	2.04
механизмов	117104	41002	15	10	2.02
считается	117104	41002	15	10	2.02
против	117104	41002	15	10	2.02
объяснение	117104	41002	15	10	2.02
являются	117104	41002	57	28	2.01
разновидности	117104	41002	9	7	2.01
факторами	117104	41002	9	7	2.01
основным	117104	41002	9	7	2.01
выражает	117104	41002	9	7	2.01
отметить	117104	41002	9	7	2.01
статус	117104	41002	9	7	2.01
Обычно	117104	41002	9	7	2.01
проблемой	117104	41002	9	7	2.01
иврите	117104	41002	9	7	2.01
Природа	117104	41002	9	7	2.01
определяет	117104	41002	26	15	2.01
пытается	117104	41002	13	9	2.00
ответить	117104	41002	13	9	2.00
элемент	117104	41002	13	9	2.00
аспекты	117104	41002	13	9	2.00
считал	117104	41002	13	9	2.00
науки	117104	41002	33	18	2.00
индивидуальное	117104	41002	11	8	1.99
главным	117104	41002	11	8	1.99
вызывает	117104	41002	11	8	1.99
психологии	117104	41002	70	33	1.97
процессы	117104	41002	60	29	1.96
совершенно	117104	41002	38	20	1.96
так	117104	41002	264	106	1.95
ее	117104	41002	159	67	1.94
философии	117104	41002	83	38	1.94
выступает	117104	41002	22	13	1.91
ученые	117104	41002	22	13	1.91
структуры	117104	41002	36	19	1.91
имеют	117104	41002	29	16	1.89
Павел	117104	41002	29	16	1.89
без	117104	41002	89	40	1.88
которых	117104	41002	66	31	1.87
бы	117104	41002	234	94	1.86
проблема	117104	41002	39	20	1.83
может	117104	41002	323	126	1.83
дисциплин	117104	41002	4	4	1.82
изучающих	117104	41002	4	4	1.82
ключе	117104	41002	4	4	1.82
контролем	117104	41002	4	4	1.82
предметное	117104	41002	4	4	1.82
страдают	117104	41002	4	4	1.82
данность	117104	41002	4	4	1.82
научная	117104	41002	4	4	1.82
на вопрос	117104	41002	4	4	1.82
происхождении	117104	41002	4	4	1.82
носителя	117104	41002	4	4	1.82
природное	117104	41002	4	4	1.82
Университета	117104	41002	4	4	1.82
характеристику	117104	41002	4	4	1.82
следствием	117104	41002	4	4	1.82
Соответственно	117104	41002	4	4	1.82
обладать	117104	41002	4	4	1.82
предполагают	117104	41002	4	4	1.82
степенью	117104	41002	4	4	1.82
Коллективное	117104	41002	4	4	1.82
доцент	117104	41002	4	4	1.82
описании	117104	41002	4	4	1.82
Изучением	117104	41002	4	4	1.82
Функциональный	117104	41002	4	4	1.82
наличием	117104	41002	4	4	1.82
хотим	117104	41002	4	4	1.82
фактов	117104	41002	4	4	1.82
возникнет	117104	41002	4	4	1.82
Наше	117104	41002	4	4	1.82
(«совесть	117104	41002	4	4	1.82
этико-религиозными	117104	41002	4	4	1.82
Ближайшим	117104	41002	4	4	1.82
«скрытое»	117104	41002	4	4	1.82
