token	corpus size	all contexts size	frequency	co-frequency	specificity
является	242815	23133	405	102	19.44
как	242815	23133	1801	288	17.80
Структура	242815	23133	29	21	15.16
теорий	242815	23133	36	23	14.69
его	242815	23133	963	169	14.35
функции	242815	23133	79	34	14.28
Понятие	242815	23133	36	22	13.50
наше	242815	23133	87	33	12.03
теории	242815	23133	166	48	11.96
человеческого	242815	23133	84	32	11.75
доступа	242815	23133	34	19	10.79
Свойства	242815	23133	12	11	10.20
основные	242815	23133	29	17	10.17
квантового	242815	23133	13	11	9.43
объяснения	242815	23133	56	23	9.42
следующие	242815	23133	28	16	9.38
человека	242815	23133	898	143	9.33
представляет	242815	23133	76	27	9.25
устроено	242815	23133	14	11	8.80
вопрос	242815	23133	118	34	8.69
феноменального	242815	23133	20	13	8.69
функционирования	242815	23133	24	14	8.44
философии	242815	23133	116	33	8.31
общественного	242815	23133	32	16	8.26
наличие	242815	23133	59	22	8.12
существует	242815	23133	122	33	7.73
человеческое	242815	23133	35	16	7.56
Утрата	242815	23133	11	9	7.54
мозга	242815	23133	293	58	7.37
в	242815	23133	5470	631	7.14
формы	242815	23133	51	19	7.11
эволюции	242815	23133	52	19	6.95
структуру	242815	23133	34	15	6.87
процессы	242815	23133	108	29	6.82
свойства	242815	23133	80	24	6.73
природа	242815	23133	23	12	6.60
структуре	242815	23133	23	12	6.60
Проблема	242815	23133	16	10	6.57
теория	242815	23133	111	29	6.56
структуры	242815	23133	55	19	6.52
оно	242815	23133	231	47	6.50
корреляты	242815	23133	8	7	6.29
относительно	242815	23133	62	20	6.28
между	242815	23133	174	38	6.19
такое	242815	23133	266	51	6.18
при	242815	23133	274	52	6.14
объяснению	242815	23133	6	6	6.13
индивидуального	242815	23133	25	12	6.10
индивидуальное	242815	23133	11	8	6.08
общественное	242815	23133	11	8	6.08
объяснить	242815	23133	55	18	5.83
есть	242815	23133	632	96	5.77
разновидности	242815	23133	9	7	5.68
выделить	242815	23133	23	11	5.62
формируется	242815	23133	52	17	5.54
свойство	242815	23133	58	18	5.47
могло	242815	23133	24	11	5.40
состояния	242815	23133	146	32	5.39
общественным	242815	23133	7	6	5.32
науки	242815	23133	54	17	5.29
подхода	242815	23133	13	8	5.28
проблема	242815	23133	44	15	5.22
определяется	242815	23133	39	14	5.20
деятельности	242815	23133	177	36	5.20
нейронные	242815	23133	17	9	5.15
конституирует	242815	23133	5	5	5.11
радикальные	242815	23133	5	5	5.11
помраченного	242815	23133	5	5	5.11
можно	242815	23133	331	56	5.03
материи	242815	23133	26	11	5.00
ученые	242815	23133	36	13	4.91
состоит	242815	23133	75	20	4.91
реальности	242815	23133	114	26	4.84
Что	242815	23133	213	40	4.84
существование	242815	23133	47	15	4.83
Функции	242815	23133	11	7	4.80
механизмов	242815	23133	23	10	4.72
основы	242815	23133	28	11	4.64
процессов	242815	23133	91	22	4.62
психологии	242815	23133	153	31	4.57
изучения	242815	23133	24	10	4.53
уровни	242815	23133	24	10	4.53
объяснение	242815	23133	24	10	4.53
структура	242815	23133	29	11	4.48
реальностью	242815	23133	12	7	4.47
Большинство	242815	23133	12	7	4.47
состояний	242815	23133	62	17	4.45
самосознание	242815	23133	45	14	4.42
звеном	242815	23133	6	5	4.37
квантовым	242815	23133	6	5	4.37
невозможность	242815	23133	6	5	4.37
Типы	242815	23133	6	5	4.37
помещается	242815	23133	6	5	4.37
природе	242815	23133	63	17	4.35
способностей	242815	23133	21	9	4.24
Существует	242815	23133	21	9	4.24
исследования	242815	23133	47	14	4.20
выступает	242815	23133	26	10	4.18
особенности	242815	23133	26	10	4.18
терминах	242815	23133	31	11	4.17
общей	242815	23133	31	11	4.17
но	242815	23133	638	89	4.14
дисциплин	242815	23133	4	4	4.08
изучающих	242815	23133	4	4	4.08
промежуточным	242815	23133	4	4	4.08
Измененные	242815	23133	4	4	4.08
данность	242815	23133	4	4	4.08
Взаимодействие	242815	23133	4	4	4.08
Функциональный	242815	23133	4	4	4.08
и бессознательным	242815	23133	4	4	4.08
современной	242815	23133	22	9	4.06
которой	242815	23133	120	25	4.04
мере	242815	23133	86	20	4.03
философы	242815	23133	27	10	4.02
подсознание	242815	23133	43	13	4.02
из	242815	23133	732	99	4.01
что	242815	23133	2479	286	4.00
проблеме	242815	23133	10	6	3.98
фундаментальной	242815	23133	10	6	3.98
квалитативного	242815	23133	10	6	3.98
результатом	242815	23133	18	8	3.96
являются	242815	23133	101	22	3.93
собственно	242815	23133	14	7	3.92
характеристики	242815	23133	23	9	3.89
широкое	242815	23133	7	5	3.87
признаком	242815	23133	7	5	3.87
подсознанием	242815	23133	7	5	3.87
функционирование	242815	23133	7	5	3.87
феноменальное	242815	23133	7	5	3.87
и	242815	23133	7967	839	3.86
также	242815	23133	295	47	3.79
теорию	242815	23133	29	10	3.74
аспекты	242815	23133	24	9	3.73
типов	242815	23133	24	9	3.73
представления	242815	23133	52	14	3.70
статус	242815	23133	15	7	3.69
коме	242815	23133	11	6	3.68
факторами	242815	23133	11	6	3.68
уровней	242815	23133	11	6	3.68
Общественное	242815	23133	11	6	3.68
которое	242815	23133	165	30	3.62
определить	242815	23133	41	12	3.62
идеи	242815	23133	41	12	3.62
считают	242815	23133	41	12	3.62
создать	242815	23133	20	8	3.59
Развитие	242815	23133	20	8	3.59
обладает	242815	23133	54	14	3.52
Выделяют	242815	23133	8	5	3.49
существовании	242815	23133	16	7	3.48
основных	242815	23133	31	10	3.48
тем	242815	23133	216	36	3.46
о	242815	23133	974	122	3.45
рефлексии	242815	23133	26	9	3.43
Вселенной	242815	23133	26	9	3.43
взаимосвязи	242815	23133	5	4	3.43
научная	242815	23133	5	4	3.43
мышлением	242815	23133	5	4	3.43
субъективность	242815	23133	5	4	3.43
рефлексивного	242815	23133	5	4	3.43
Очевидно	242815	23133	5	4	3.43
предметное	242815	23133	5	4	3.43
образом	242815	23133	201	34	3.43
предметом	242815	23133	21	8	3.43
подсознания	242815	23133	21	8	3.43
‍	242815	23133	12	6	3.42
которых	242815	23133	133	25	3.36
где	242815	23133	105	21	3.29
информации	242815	23133	150	27	3.28
Согласно	242815	23133	57	14	3.28
ткани	242815	23133	22	8	3.27
единства	242815	23133	22	8	3.27
существования	242815	23133	33	10	3.24
психология	242815	23133	39	11	3.23
связаны	242815	23133	39	11	3.23
находящихся	242815	23133	9	5	3.18
сенсорная	242815	23133	9	5	3.18
считаю	242815	23133	9	5	3.18
свойством	242815	23133	28	9	3.18
степени	242815	23133	72	16	3.16
связь	242815	23133	79	17	3.15
представлений	242815	23133	34	10	3.14
ответить	242815	23133	23	8	3.13
предполагает	242815	23133	40	11	3.13
операций	242815	23133	18	7	3.12
меньшей	242815	23133	18	7	3.12
Тонони	242815	23133	18	7	3.12
уровне	242815	23133	94	19	3.11
культурно-исторической	242815	23133	3	3	3.06
физическому	242815	23133	3	3	3.06
Основным	242815	23133	3	3	3.06
сопоставляется	242815	23133	3	3	3.06
опыта»	242815	23133	3	3	3.06
Трудная	242815	23133	3	3	3.06
группового	242815	23133	3	3	3.06
слоя	242815	23133	3	3	3.06
отражательная	242815	23133	3	3	3.06
важнейшее	242815	23133	3	3	3.06
на тему	242815	23133	3	3	3.06
похожи	242815	23133	3	3	3.06
фундаментальным	242815	23133	3	3	3.06
загадочным	242815	23133	3	3	3.06
выделяются	242815	23133	3	3	3.06
и свойства	242815	23133	3	3	3.06
Объяснительный	242815	23133	3	3	3.06
ASSC)	242815	23133	3	3	3.06
градаций	242815	23133	3	3	3.06
анестезиолог	242815	23133	3	3	3.06
память) —	242815	23133	3	3	3.06
нейрофизиологических	242815	23133	3	3	3.06
идеальность	242815	23133	3	3	3.06
связана	242815	23133	29	9	3.06
определяет	242815	23133	29	9	3.06
